"ID2","LONDD","LATDD","ELEVATION","Tann"
394,-101.2,45,732,NA
395,-100.35,45.067,579,NA
396,-99.333,45.033,549,NA
397,-98.75,44.9,412,NA
398,-98.75,44.9,412,NA
399,-97.467,44.883,549,NA
400,-119.258,37.908,3018,NA
401,-94.5572,44.8031,320,NA
402,-93.688,45.425,291,NA
403,-93.704,46.128,394,NA
404,-95.167,47.183,457,NA
405,-94.917,47.183,451,NA
406,-96.017,45.761,333,NA
407,-95.733,47.183,457,NA
408,-95.915,46.174,418,NA
409,-93.508,45.333,281,NA
410,-94.753,46.219,387,NA
411,-95.558,47.165,509,NA
412,-92.467,46.583,337,NA
413,-95.75,47.2,462,NA
414,-95.783,47.217,446,NA
415,-95.872,47.19,392,NA
416,-93.983,45.429,293,NA
417,-93.117,44.758,285,NA
418,-92.87,46.353,322,NA
419,-93.613,44.45,315,NA
420,-93.694,44.45,306,NA
421,-93.103,46.086,344,NA
422,-93.364,45.749,295,NA
423,-95.698,47.178,445,NA
424,-93.68,46.068,380,NA
425,-93.273,45.781,48,NA
426,-93.733,45.133,301,NA
427,-95.775,47.188,466,NA
428,-96.167,47.6,365,NA
429,-95.833,47.209,405,NA
430,-94.2,44.9,328,NA
431,-96.25,46.662,397,NA
432,-93.467,45.725,293,NA
433,-93.408,45.572,283,NA
434,-93.522,45.4,297,NA
435,-93.981,45.41,295,NA
436,-93.168,45.849,301,NA
437,-99.233,47.15,580,NA
438,-94.113,47.081,396,NA
439,-79.48,43.64,74,NA
440,-79.49,43.64,74,NA
441,-79.5,43.65,74,NA
442,-95.008,47.244,429,NA
443,-95.008,47.244,429,NA
444,-95.575,46.922,443,NA
445,-95.575,46.922,443,NA
446,-93.783,46.133,380,NA
447,-104,50.78,478,NA
448,-93.831,44.227,308,NA
449,-93.567,44.589,274,NA
450,-77.433,45.033,316,NA
451,-89.324,48.422,250,NA
452,-77.917,44.3,167,NA
453,-88.74,48.56,250,NA
454,-59.367,47.862,10,NA
455,-80.117,47,294,NA
456,-79.98,44.85,196,NA
457,-76.9,43.51,75,NA
458,-79.47,43.64,76,NA
459,-78.15,43.557,75,NA
460,-94.25,51.383,400,NA
461,-127.05,65.217,127,-59
462,-127.75,65.517,335,-63
463,-128.567,65.683,122,-72
464,-97.117,30.367,142,NA
465,-107.26,44.179,2561,NA
466,-70.058,41.275,4,NA
467,-70.058,41.275,14,NA
468,-70.133,41.25,3,NA
469,-70.183,41.258,3,NA
470,-69.983,41.275,9,NA
471,-70.167,41.258,3,NA
472,-70.133,41.275,6,NA
473,-70.017,41.283,9,NA
474,-70.017,41.283,9,NA
475,-70.05,41.275,6,NA
476,-70.008,41.283,9,NA
477,-70.017,41.275,6,NA
478,-70.017,41.308,3,NA
479,-70.008,41.292,6,NA
480,-70.008,41.308,6,NA
481,-94.967,47.558,421,NA
482,-94.75,46.867,424,NA
483,-95.317,46.967,460,NA
484,-94.95,46.95,435,NA
485,-94.133,46.55,368,NA
486,-72.983,45.283,53,NA
487,-73.993,45.996,365,NA
488,-122.547,49.308,305,84
489,-121.5,50.35,320,13
490,-112.717,48.55,1233,NA
491,-122.25,46.592,282,92
492,-55.506,48.936,75,NA
493,-56.196,50.034,236,NA
494,-52.714,47.59,70,NA
495,-55.473,49.471,105,NA
496,-122.492,45.8,155,105
497,-110.6,44.65,2530,NA
498,-110.233,43.933,2628,NA
499,-110.3,44.067,2634,NA
500,-110.6,43.75,2073,NA
501,-110.317,43.767,2469,NA
502,-110.233,44.15,2730,NA
503,-110.35,44.933,1884,NA
504,-117.858,33.658,2,NA
505,-98.667,38.467,547,NA
506,-84.187,35.621,262,NA
507,-84.211,35.585,240,NA
508,-105.5,37.55,3523,NA
509,-112,34,1125,NA
510,-119.833,37,2219,NA
511,-111.183,44.125,1840,NA
512,-110.733,44.917,2215,NA
513,-102.3,49.817,746,NA
514,-93.183,45.425,278,NA
515,-93.197,45.411,275,NA
516,-85.04,46.7,190,NA
517,-92.158,48.233,401,NA
518,-91.9,48.033,428,NA
519,-91.642,47.708,506,NA
520,-89.483,45.783,488,NA
521,-89.317,45.85,500,NA
522,-89.625,45.933,491,NA
523,-89.375,45.986,501,NA
524,-84.958,46.427,264,NA
525,-84.958,46.427,264,NA
526,-84.958,46.427,264,NA
527,-83.01,39.354,197,NA
528,-83.533,40.1,320,NA
529,-84.75,41.417,249,NA
530,-81.333,41.199,322,NA
531,-82.938,39.668,212,NA
532,-82.933,40.797,318,NA
533,-90.933,47.958,570,NA
534,-71.317,44.267,1550,NA
535,-71.317,44.267,1550,NA
536,-71.317,44.267,1160,NA
537,-79.344,39.045,1204,NA
538,-79.6,39.1,1120,NA
539,-79.383,39.126,950,NA
540,-79.4177,39.4943,713,NA
541,-93.633,45.033,292,NA
542,-93.633,45.033,292,NA
543,-93.633,45.033,292,NA
544,-93.633,45.033,292,NA
545,-93.633,45.033,292,NA
546,-93.633,45.033,292,NA
547,-93.633,45.033,292,NA
548,-93.633,45.033,292,NA
549,-93.633,45.033,292,NA
550,-93.633,45.033,292,NA
551,-93.55,44.967,300,NA
552,-77.34,46.03,160,NA
553,-55.53,51.6,5,NA
554,-79.44,44.18,228,NA
555,-126.417,65.233,330,-66
556,-91.346,44.083,211,NA
557,-92,44.7,231,NA
558,-89.7,45.8,483,NA
559,-88.633,45.867,456,NA
560,-89,45.7,498,NA
561,-88.914,45.16,438,NA
562,-88.521,45.044,271,NA
563,-88.9,44.8,295,NA
564,-88.931,44.366,246,NA
565,-88.861,44.349,228,NA
566,-89.371,44.349,338,NA
567,-89.3,44.1,320,NA
568,-89.4,43.1,259,NA
569,-89,42.9,237,NA
570,-77.925,41.917,690,NA
571,-55.55,51.573,5,NA
572,-79.5,45.38,323,NA
573,-79.78,47.23,292,NA
574,-81.73,43.22,184,NA
575,-57.71,49.69,678,NA
576,-78.1,44.1,170,NA
577,-82.76,41.92,168,NA
578,-79.38,45.42,333,NA
579,-79.1,43.82,75,NA
580,-84.93,48.21,440,NA
581,-80.86,44.74,176,NA
582,-57.95,49.67,2,NA
583,-80.2,50.22,263,NA
584,-58.24,48.24,100,NA
585,-80.09,45.05,433,NA
586,-76.7,44.22,74,NA
587,-78.34,44.1,188,NA
588,-92,49.48,470,NA
589,-79.98,44.82,220,NA
590,-79.77,44.17,188,NA
591,-58.8,48.26,32,NA
592,-82.32,42.98,185,NA
593,-116.33,50.75,1100,NA
594,-80.4,43.9,484,NA
595,-80.4,43.91,484,NA
596,-93.644,47.136,478,NA
597,-93.683,47.133,436,NA
598,-93.667,47.133,468,NA
599,-119.083,37,1683,NA
600,-119.533,37.9,2743,NA
601,-119.26,37.196,2015,NA
602,-119.817,37.95,1554,NA
603,-93.183,45.425,278,NA
604,-128.8,63.017,1380,-78
605,-107.684,37.746,3200,NA
606,-107.698,37.738,3220,NA
607,-107.8,37.483,2690,NA
608,-105.58,39.937,2848,NA
609,-107.808,37.613,2694,NA
610,-79.616,38.155,620,NA
611,-116.417,51.65,1940,NA
612,-105.542,40.083,3095,NA
613,-89.675,43.433,381,NA
614,-87.848,44.238,261,NA
615,-68.7547,44.9264,35,NA
616,-110.284,44.49,2500,NA
617,-93.692,44.892,288,NA
618,-93.692,44.892,288,NA
619,-92.017,48.108,446,NA
620,-86.433,41.083,235,NA
621,-92.017,48.108,446,NA
622,-92.017,48.108,446,NA
623,-92.017,48.108,446,NA
624,-92.017,48.108,446,NA
625,-92.017,48.108,446,NA
626,-92.017,48.108,446,NA
627,-92.017,48.108,446,NA
628,-92.017,48.108,446,NA
629,-92.017,48.108,446,NA
630,-92.017,48.108,446,NA
631,-92.017,48.108,446,NA
632,-92.017,48.108,446,NA
633,-92.017,48.108,446,NA
634,-92.017,48.108,446,NA
635,-92.017,48.108,446,NA
636,-87.516,44.45,211,NA
637,-93.125,44.271,254,NA
638,-62.917,57.333,500,NA
639,-62.8,57.333,500,NA
640,-63.133,57.283,410,NA
641,-63.167,57.167,510,NA
642,-63.083,57.133,500,NA
643,-62.867,57.267,470,NA
644,-64.533,56.65,510,NA
645,-64.5,56.65,523,NA
646,-64.5,56.583,510,NA
647,-64.183,56.3,510,NA
648,-62.667,57.617,150,NA
649,-64.25,56.367,460,NA
650,-63.95,56.283,480,NA
651,-64.417,56.167,470,NA
652,-63.383,55.4,526,NA
653,-62.033,55.45,388,NA
654,-62.65,55.233,623,NA
655,-62.733,55.2,575,NA
656,-62.733,55.1,569,NA
657,-62.65,55.033,559,NA
658,-63.117,55.05,554,NA
659,-63.2,55.133,545,NA
660,-62.25,55.217,570,NA
661,-62.2,55.1,590,NA
662,-63.25,54.867,530,NA
663,-63.117,54.6,507,NA
664,-63.033,54.883,352,NA
665,-62.733,54.867,513,NA
666,-62.717,54.9,565,NA
667,-63.033,54.767,589,NA
668,-62.883,54.333,450,NA
669,-62.45,54.883,566,NA
670,-62.35,54.8,587,NA
671,-62.383,54.817,578,NA
672,-61.283,54.567,126,NA
673,-61.2,54.467,290,NA
674,-61.283,54.45,295,NA
675,-61.25,54.417,289,NA
676,-61.117,54.383,305,NA
677,-61.15,54.367,306,NA
678,-61.133,54.3,285,NA
679,-60.883,54.3,280,NA
680,-60.15,54.717,160,NA
681,-60.233,53.717,195,NA
682,-60.317,53.683,124,NA
683,-60.683,53.633,295,NA
684,-60.75,53.617,136,NA
685,-60.9,53.617,220,NA
686,-60.617,53.6,255,NA
687,-56.283,52.55,57,NA
688,-56.533,52.45,295,NA
