"ID2","LONDD","LATDD","ELEVATION","Tann"
110,-97.2708,45.5025,565,57
111,-93.633,45.033,292,67
112,-81.25,42.917,274,74
113,-80.1389,37.601,1090,107
114,-85.25,41.583,294,89
115,-64.8,47.075,6,50
116,-65.167,57.633,381,-64
117,-76.1,45.6,200,48
118,-92.7,49.35,460,18
119,-93.167,32.467,61,177
120,-99.65,50.717,724,5
121,-76.683,36.167,6,154
122,-57.717,54.4,100,-9
123,-81.95,27.967,51,222
124,-64.183,45.017,30,62
125,-82,29.517,51,205
126,-83.8,40.35,332,97
127,-91.567,49.933,410,7
128,-100.75,63.033,265,-116
129,-63.883,56.633,522,-61
130,-76.35,41.674,342,82
131,-58.917,53.95,137,-4
132,-84.689,40.217,309,100
133,-52.667,47.617,100,50
134,-102.509,41.721,1163,83
135,-74.483,40.4,29,113
136,-91.45,44.15,244,69
137,-75.2667,41.0382,277,86
138,-70.62,46.58,404,32
139,-96.083,47.2,370,41
140,-73.317,45.546,137,61
141,-65.167,55.767,442,-58
142,-81.5,27.583,34,223
143,-67.5,55.017,610,-57
144,-62.05,57.383,122,-42
145,-79.38,44,297,68
146,-78.95,44.617,274,58
147,-88.184,42.351,229,84
148,-91.66,47.472,559,29
149,-80.775,34.167,90,166
150,-57.3,51.517,98,1
151,-71.117,41.967,20,98
152,-85.383,42.4,271,88
153,-93.567,45,291,67
154,-85.661,46.429,259,48
155,-90.079,45.335,500,44
156,-87.95,46.75,445,32
157,-138.4,64.633,1160,-83
158,-89.188,38.904,162,123
159,-95.808,34.406,263,163
160,-63.025,46.25,15,58
161,-93.164,44.822,254,70
162,-76.129,54.147,130,-39
163,-70.358,54.356,595,-51
164,-79.072,37.996,500,104
165,-70.616,47.61,305,20
166,-78.917,46.4,305,35
167,-80.413,43.237,301,73
168,-79.45,45.217,305,50
169,-90.583,36.6,91,143
170,-95.284,46.212,443,47
171,-69.41,43.921,37,77
172,-95.307,46.184,446,47
173,-120.881,45.918,714,62
174,-110.261,44.299,2362,-1
175,-69.317,44.983,89,57
176,-70.35,44.033,94,69
177,-70.35,43.967,95,69
178,-68.2,45.033,110,56
179,-114.15,59.25,880,-42
180,-118.7,62.05,745,-64
181,-126.117,65.217,650,-83
182,-120.667,57.45,900,-15
183,-119.717,56.717,1100,-15
184,-114.6,50.767,1480,11
185,-122.167,59.517,651,-33
186,-78.954,33.799,10,173
187,-91.5,42.986,308,77
188,-112.1,57.767,725,-28
189,-107.011,44.294,2665,-3
190,-80.698,46.828,333,34
191,-84.258,47.308,422,20
192,-77.175,44.85,274,52
193,-107.466,44.5,2609,-2
194,-99.906,44.836,549,69
195,-76.378,57.117,210,-63
196,-75.245,58.578,160,-68
197,-74.583,49.683,830,-3
198,-81.332,27.234,45,224
199,-83.195,30.642,58,195
200,-64.94,48.198,116,37
201,-65.95,48.967,915,-15
202,-66.125,48.911,494,9
203,-71.717,58.867,250,-68
204,-65.839,48.238,65,38
205,-72.067,58.233,200,-63
206,-72,48.5,97,26
207,-155.033,67.683,460,-130
208,-146.483,68.333,881,-117
209,-156.033,68.133,631,-116
210,-155.033,66.917,122,-83
211,-156.45,66.967,213,-84
212,-153.9,67.133,820,-114
213,-155.05,67.933,820,-126
214,-153.65,67.147,820,-113
215,-154.233,67.067,210,-92
216,-147.85,67.433,640,-83
217,-145.217,68.267,637,-120
218,-157.217,66.767,183,-73
219,-143.15,66.583,189,-72
220,-142.067,67.2,211,-88
221,-152.6,67.25,914,-108
222,-151.267,64.333,305,-39
