ID2_W05v1_6,LONDD,LATDD,AbieEast,AbieWest,AcerEast,AcerWest,AlnuEast,AlnuWest,CeltEast,CeltWest,ChAmFlor,ChAmMid,CupXEast,CupXWest,FraxEast,FraxWest,Larix,LarixPse,PicEast,PicWest,PinEast,PinNE,PinSE,PinWest,QuerEast,QuerWest,TsugEast,TsugWest
723,-122.042,43.65,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,1,,1,,1
724,-112.217,36.717,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,1,,1,,1
725,-107.051,40.024,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,1,,1,,
726,-111.667,38.617,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,1,,1,,1
727,-105.5,37.7,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,1,,1,,
728,-111.7,37.95,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,1,,1,,1
729,-85.217,73.035,,,1,,1,,,,,1,,,,,,0,1,,1,1,,,,,,0
730,-144.75,64,,1,,,,1,,,,1,,1,,1,1,1,1,,,,,1,,1,,1
731,-144.65,63.711,,1,,,,1,,,,1,,1,,1,1,1,1,,,,,1,,1,,1
732,-68.733,45.042,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
733,-131.76,52.93,,1,,1,,1,,,,1,,1,,1,,1,,1,,,,1,,1,,1
734,-105.45,43.5,,1,,,,1,1,,,1,,1,1,,,1,,1,,,,1,1,,,
735,-108.25,33.867,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,1,,1,,
736,-108.25,33.867,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,1,,1,,
737,-108.3,33.7,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,1,,1,,
738,-92.183,48.183,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
739,-119.625,37.725,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,1,,1,,1
740,-91.995,47.924,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
741,-162.2,63.5,,,,,,1,,,,1,,1,,,,1,1,,,,,1,,,,
742,-146.908,64.444,,,,,,1,,,,1,,1,,1,1,1,1,,,,,1,,1,,1
743,-146.063,63.029,,1,,,,1,,,,1,,1,,1,1,1,1,,,,,1,,1,,1
744,-131.9067,52.72,,1,,1,,1,,,,1,,1,,1,,1,,1,,,,1,,1,,1
745,-132.408,53.267,,1,,1,,1,,,,1,,1,,1,,1,,1,,,,1,,1,,1
