"entitynum","sitenum","sigle"
673,673,"JEDDAH-D"
674,674,"Juniper"
675,675,"JVC1VL"
676,676,"K_SI-07"
677,677,"K_SI-08"
678,678,"K_SI-09"
679,679,"K_SI-10"
680,680,"K_SI-12"
681,681,"K_SI-14"
682,682,"K_SI-15"
683,683,"K_SI-18"
684,684,"K_SI-20"
685,685,"K-Bur85"
686,686,"Kam-03_V1"
687,687,"KARL3"
688,688,"KARL4"
689,689,"KARL5"
690,690,"KARL6"
691,691,"KARL7"
692,692,"Kasungu"
693,693,"Kaulime"
694,694,"KEN_RUC1"
695,695,"KEN_RUC10"
696,696,"KEN_RUC11"
697,697,"KEN_RUC12"
698,698,"KEN_RUC13"
699,699,"KEN_RUC14"
700,700,"KEN_RUC15"
701,701,"KEN_RUC16"
702,702,"KEN_RUC17"
703,703,"KEN_RUC18"
704,704,"KEN_RUC19"
705,705,"KEN_RUC2"
706,706,"KEN_RUC20"
707,707,"KEN_RUC21"
708,708,"KEN_RUC22"
709,709,"KEN_RUC23"
710,710,"KEN_RUC24"
711,711,"KEN_RUC25"
712,712,"KEN_RUC26"
713,713,"KEN_RUC27"
714,714,"KEN_RUC28"
715,715,"KEN_RUC29"
716,716,"KEN_RUC3"
717,717,"KEN_RUC30"
718,718,"KEN_RUC31"
719,719,"KEN_RUC4"
720,720,"KEN_RUC5"
721,721,"KEN_RUC6"
722,722,"KEN_RUC7"
723,723,"KEN_RUC8"
724,724,"KEN_RUC9"
725,725,"Khasu"
726,726,"Kitigata_2"
727,727,"krake"
728,728,"Kysanduka"
729,729,"L-Bur85"
730,730,"Liwonde"
731,731,"LOKO-S1"
732,732,"LOKO-S4"
733,733,"LR73-13"
734,734,"LR73-15"
735,735,"LR73-17"
736,736,"LR73-20-1"
737,737,"LR73-29"
738,738,"LR73-32"
739,739,"LR73-33"
740,740,"LR73-46"
741,741,"LR73-5"
742,742,"LR73-51"
743,743,"LR73-58-1"
744,744,"LR73-63"
745,745,"LR73-9-1"
746,746,"LR74-5A"
747,747,"LR74-6A"
748,748,"M_104a"
749,749,"M_7a"
750,750,"M-Bur85"
751,751,"M86-10P"
752,752,"M86-11P"
753,753,"M86-12P"
754,754,"M86-13PG"
755,755,"M86-14PG"
756,756,"M86-15P"
757,757,"M86-16P"
758,758,"M86-17PG"
759,759,"M86-18PG"
760,760,"M86-19P"
761,761,"M86-1P"
762,762,"M86-20PG"
763,763,"M86-21PG"
764,764,"M86-22PG"
765,765,"M86-23P"
766,766,"M86-24P"
767,767,"M86-25PG"
768,768,"M86-27P"
769,769,"M86-28PG"
770,770,"M86-2PG"
771,771,"M86-30P"
772,772,"M86-31P"
773,773,"M86-32PG"
774,774,"M86-33P"
775,775,"M86-3PG"
776,776,"M86-4PG"
777,777,"M86-5P"
778,778,"M86-6PG"
779,779,"M86-8PG"
780,780,"M86-9PG"
781,781,"M87--13G"
782,782,"M87-10G"
783,783,"M87-11G"
784,784,"M87-12G"
785,785,"M87-14G"
786,786,"M87-15G"
787,787,"M87-16G"
788,788,"M87-17G"
789,789,"M87-18G"
790,790,"M87-19G"
791,791,"M87-20G"
792,792,"M87-21G"
793,793,"M87-22G"
794,794,"M87-23G"
795,795,"M87-3G"
796,796,"M87-4G"
797,797,"M87-5G"
798,798,"M87-6G"
799,799,"M87-7G"
800,800,"M87-8G"
801,801,"M87-9G"
802,802,"MAD10STK"
803,803,"MAD11STK"
804,804,"MAD12STK"
805,805,"MAD13STK"
806,806,"MAD15STK"
807,807,"MAD16STK"
808,808,"MAD18STK"
809,809,"MAD1STK"
810,810,"MAD23STK"
811,811,"MAD24STK"
812,812,"MAD26STK"
813,813,"MAD27STK"
814,814,"MAD28STK"
815,815,"MAD29STK"
816,816,"MAD2STK"
817,817,"MAD30STK"
818,818,"MAD31STK"
819,819,"MAD32STK"
820,820,"MAD33STK"
821,821,"MAD34STK"
822,822,"MAD35STK"
823,823,"MAD36STK"
824,824,"MAD39STK"
825,825,"MAD3STK"
826,826,"MAD40STK"
827,827,"MAD41STK"
828,828,"MAD42STK"
829,829,"MAD45STK"
830,830,"MAD47STK"
831,831,"MAD48STK"
832,832,"MAD4STK"
833,833,"MAD50STK"
834,834,"MAD51STK"
835,835,"MAD52STK"
836,836,"MAD53STK"
837,837,"MAD54STK"
838,838,"MAD55STK"
839,839,"MAD56STK"
840,840,"MAD57STK"
841,841,"MAD58STK"
842,842,"MAD59STK"
843,843,"MAD5STK"
844,844,"MAD60STK"
845,845,"MAD63STK"
846,846,"MAD64STK"
847,847,"MAD65STK"
848,848,"MAD66STK"
849,849,"MAD67STK"
850,850,"MAD70STK"
851,851,"MAD71STK"
852,852,"MAD73STK"
853,853,"MAD74STK"
854,854,"MAD75STK"
855,855,"MAD7STK"
856,856,"MAD84STK"
857,857,"MAD85STK"
858,858,"MAD86STK"
859,859,"MAD87STK"
860,860,"MAD89STK"
861,861,"MAD8STK"
862,862,"MAD9STK"
863,863,"Mag_1"
864,864,"Mag_2"
865,865,"MALI1V86"
866,866,"MALI2V86"
867,867,"MALI3V86"
868,868,"Malombe"
869,869,"MARI-S1"
870,870,"MARI-S2"
871,871,"Mas_1"
872,872,"Mas_12"
873,873,"Mas_14"
874,874,"Mas_1V"
875,875,"Mas_2"
876,876,"Mas_2V"
877,877,"Mas_3"
878,878,"Mas_3V"
879,879,"Mas_7"
880,880,"Mas_8"
881,881,"Mas_9"
882,882,"Mas-03_S4"
883,883,"Mas-03_S7"
884,884,"MAU-8802"
885,885,"MAU14STK"
886,886,"MAU19STK"
887,887,"MAU21STK"
888,888,"MAU25STK"
889,889,"MAU338STK"
890,890,"MAU37STK"
891,891,"MAU43STK"
892,892,"MAU44STK"
893,893,"MAU6STK"
894,894,"MAU83STK"
895,895,"MAU88STK"
896,896,"MAYBOY-1"
897,897,"MAYBOY-2"
898,898,"MAYCH-1"
899,899,"MAYCHR-1"
900,900,"MAYCHR-2"
901,901,"MAYCOM-1"
902,902,"MAYK-1"
903,903,"MAYK-2"
904,904,"MAYK-3"
905,905,"MAYK-4"
906,906,"MAYNG-1"
907,907,"MAYV-1"
908,908,"MAYV-3"
909,909,"MAYV-4"
910,910,"MAYV-5"
911,911,"MAYV-7"
912,912,"MAYV-8"
913,913,"Mbeya_R"
