"sitenum","sitename","latdd","londd","altitude","poldiv1"
1066,"RARL47",-0.36,31.50,65,"RWA"
1067,"RB_1",5.17,36.17,312,"ETH"
1068,"RB_10",5.40,35.97,310,"ETH"
1069,"RB_11",5.42,36.20,311,"ETH"
1070,"RB_2",5.11,36.11,313,"ETH"
1071,"RB_4",5.06,36.12,314,"ETH"
1072,"RB_676",4.76,36.08,303,"ETH"
1073,"RB_7",5.00,36.17,315,"ETH"
1074,"RBO-159",-11.36,34.35,349,"MWI"
1075,"RBO-525",-9.87,33.96,349,"MWI"
1076,"REU17STK",-21.10,55.48,140,"REU"
1077,"REU20STK",-21.03,55.55,94,"REU"
1078,"REU22STK",-21.15,55.55,129,"REU"
1079,"REU46STK",-21.03,55.55,129,"REU"
1080,"REU49STK",-21.03,55.55,129,"REU"
1081,"REU61STK",-21.03,55.55,129,"REU"
1082,"REU62STK",-21.15,55.61,86,"REU"
1083,"REU68STK",-21.10,55.48,140,"REU"
1084,"REU69STK",-21.11,55.61,0,"REU"
1085,"REU72STK",-21.11,55.50,209,"REU"
1086,"REU76STK",-21.11,55.50,209,"REU"
1087,"REU77STK",-21.11,55.50,209,"REU"
1088,"REU78STK",-21.11,55.61,0,"REU"
1089,"REU79STK",-21.11,55.50,209,"REU"
1090,"REU80STK",-21.11,55.50,209,"REU"
1091,"REU81STK",-21.11,55.50,209,"REU"
1092,"REU82STK",-21.11,55.61,0,"REU"
1093,"Rgw_10",-9.17,33.73,179,"TZA"
1094,"Rgw_11",-9.17,33.73,179,"TZA"
1095,"Rgw_12",-9.17,33.73,179,"TZA"
1096,"Rgw_13",-9.17,33.73,179,"TZA"
1097,"Rgw_14",-9.17,33.73,179,"TZA"
1098,"Rgw_15",-9.17,33.73,179,"TZA"
1099,"Rgw_16",-9.17,33.73,179,"TZA"
1100,"Rgw_17",-9.17,33.73,179,"TZA"
1101,"Rgw_18",-9.17,33.73,179,"TZA"
1102,"Rgw_19",-9.17,33.73,179,"TZA"
1103,"Rgw_2",-9.16,33.71,176,"TZA"
1104,"Rgw_20",-9.17,33.73,179,"TZA"
1105,"Rgw_24",-9.12,33.70,220,"TZA"
1106,"Rgw_25",-9.16,33.69,229,"TZA"
1107,"Rgw_26",-9.20,33.68,213,"TZA"
1108,"Rgw_27",-9.17,33.68,245,"TZA"
1109,"Rgw_4",-9.17,33.73,179,"TZA"
1110,"Rgw_5",-9.17,33.73,179,"TZA"
1111,"Rgw_6",-9.17,33.73,179,"TZA"
1112,"Rgw_7A",-9.17,33.73,179,"TZA"
1113,"Rgw_8",-9.17,33.73,179,"TZA"
1114,"Rgw_9",-9.17,33.73,179,"TZA"
1115,"Rgw-03_S2",-9.28,33.68,215,"TZA"
1116,"Rgw-03_SA",-9.14,33.78,201,"TZA"
1117,"Rgw-03_SC",-9.11,33.76,220,"TZA"
1118,"Rgw-03_SE",-9.27,33.76,217,"TZA"
1119,"Rgw1",-9.20,33.70,147,"TZA"
1120,"RIHYAD-C",24.41,46.80,725,"SAU"
1121,"RIM-1",16.68,-15.96,5,"MRT"
1122,"RIM-2",19.93,-14.23,109,"MRT"
1123,"RIM-3",21.52,-13.00,362,"MRT"
1124,"RIM-8",21.04,-12.15,341,"MRT"
1125,"RK",-8.43,32.98,454,"TZA"
1126,"S136_3",7.15,38.69,196,"ETH"
1127,"S136_4",7.08,38.76,218,"ETH"
1128,"S136_5",7.07,38.78,227,"ETH"
1129,"S137_6",7.20,38.61,188,"ETH"
1130,"S257_4",7.15,38.68,196,"ETH"
1131,"S82-1",13.78,-13.60,356,"SEN"
1132,"S82-13",15.28,-16.80,379,"SEN"
1133,"S82-14",15.28,-16.80,379,"SEN"
1134,"S82-15",15.28,-16.80,379,"SEN"
1135,"S82-16",15.28,-16.80,379,"SEN"
1136,"S82-16bis",15.28,-16.80,415,"SEN"
1137,"S82-17",15.28,-16.80,379,"SEN"
1138,"S82-18",15.28,-16.80,379,"SEN"
1139,"S82-19",15.28,-16.80,379,"SEN"
1140,"S82-46",16.00,-15.95,53,"SEN"
1141,"S82-47",16.00,-15.95,53,"SEN"
1142,"S82-51",15.75,-16.50,59,"SEN"
1143,"S82-53",15.66,-16.56,0,"SEN"
1144,"S82-67",15.41,-16.71,248,"SEN"
1145,"S82-73",15.01,-16.98,27,"SEN"
1146,"S82-77",14.63,-16.31,27,"SEN"
1147,"S82-78",14.08,-16.05,414,"SEN"
1148,"S82-79",14.16,-16.10,414,"SEN"
1149,"S83-100",13.03,-12.63,139,"SEN"
1150,"S83-101",13.01,-12.53,84,"SEN"
1151,"S83-102",12.96,-12.48,105,"SEN"
1152,"S83-103",12.91,-12.43,325,"SEN"
1153,"S83-115",12.40,-12.30,653,"SEN"
1154,"S83-116",12.66,-12.18,125,"SEN"
1155,"S83-120",13.48,-13.83,37,"SEN"
1156,"S83-122",13.35,-14.93,23,"SEN"
1157,"S83-127",13.06,-14.08,13,"SEN"
1158,"S83-135",12.85,-14.65,30,"SEN"
1159,"S83-14",15.30,-15.56,60,"SEN"
1160,"S83-15",15.33,-15.46,54,"SEN"
1161,"S83-150",12.56,-15.98,37,"SEN"
1162,"S83-151",12.48,-16.58,0,"SEN"
1163,"S83-155",12.55,-12.30,151,"SEN"
1164,"S83-165",15.16,-15.86,57,"SEN"
1165,"S83-20",15.41,-15.11,173,"SEN"
1166,"S83-25",15.76,-14.91,24,"SEN"
1167,"S83-30",16.60,-14.93,9,"SEN"
1168,"S83-35",16.50,-15.60,414,"SEN"
1169,"S83-4",14.70,-16.50,24,"SEN"
1170,"S83-43",15.60,-13.20,128,"SEN"
1171,"S83-46",15.43,-13.35,69,"SEN"
1172,"S83-48",15.28,-13.45,78,"SEN"
1173,"S83-62",14.85,-12.33,59,"SEN"
1174,"S83-65",14.75,-12.25,27,"SEN"
1175,"S83-68",13.88,-12.25,146,"SEN"
1176,"S83-70",14.05,-12.26,93,"SEN"
1177,"S83-75",14.11,-12.66,98,"SEN"
1178,"S83-79",14.08,-13.00,104,"SEN"
1179,"S83-8",14.90,-15.85,33,"SEN"
1180,"S83-83",13.80,-13.70,356,"SEN"
1181,"S83-95",13.20,-13.06,58,"SEN"
1182,"S83-96",13.15,-13.00,93,"SEN"
1183,"S83-97",13.11,-12.93,118,"SEN"
1184,"S83-98",13.08,-12.83,124,"SEN"
1185,"S83-99",13.06,-12.70,118,"SEN"
1186,"S85",14.10,-15.46,49,"SEN"
1187,"Safr_01",-28.28,16.95,414,"ZAF"
1188,"Safr_02",-28.53,16.92,28,"ZAF"
1189,"Safr_03",-32.08,26.13,1193,"ZAF"
1190,"Safr_04",-32.08,26.13,1193,"ZAF"
1191,"Safr_05",-32.08,26.13,1193,"ZAF"
1192,"Safr_06",-32.08,26.12,1154,"ZAF"
1193,"Safr_07",-32.08,26.12,1154,"ZAF"
1194,"Safr_08",-32.08,26.12,1154,"ZAF"
1195,"Safr_09",-32.08,26.12,1154,"ZAF"
1196,"Safr_10",-31.55,24.23,1592,"ZAF"
1197,"Safr_100",-22.93,29.12,430,"ZAF"
1198,"Safr_101",-22.75,29.41,416,"ZAF"
1199,"Safr_102",-23.02,31.37,250,"ZAF"
