"varname_orig","varname","varnum","form"
"Caryophyllaceae undiff.","Caryophyllaceae undiff.",927,"I"
"NA","Asteraceae echinulee",928,"NA"
"Drosera","Drosera",929,"N"
"NA","Araceae",930,"Upland Herbs"
"NA","Crinum-type natans",931,"NA"
"Anchomanes-type","Anchomanes-type",932,"N"
"NA","Dinoflagelle",933,"NA"
"NA","Lonchitis-type",934,"NA"
"Pityrogramma","Pityrogramma",935,"F"
"NA","Hollarhena-tpe",936,"NA"
"NA","Nelsonia",937,"NA"
"NA","Trema-type",938,"Trees and Shrubs"
"Leea guineensis","Leea guineensis",939,"A"
"Aubrevillea","Aubrevillea",940,"A"
"NA","Caesalpiniaceae unfiff.",941,"NA"
"Macrosphyra-type","Macrosphyra-type",942,"C"
"NA","Pavetta-type",943,"NA"
"NA","Gartnera paniculata-type",944,"NA"
"Annonaceae undiff.","Annonaceae undiff.",945,"C"
"NA","Annona senegalensis",946,"NA"
"Vitex-type","Vitex-type",947,"C"
"NA","Stachytarfeta-type",948,"NA"
"NA","Blighia-type",949,"NA"
"NA","Cassipourea-type",950,"NA"
"Secamone-type","Secamone-type",951,"C"
"Burseraceae undiff.","Burseraceae undiff.",952,"A"
"NA","Polycarpaceae undiff.",953,"NA"
"Acanthaceae undiff.","Acanthaceae undiff.",954,"I"
"NA","Mitragyna-type",955,"NA"
"Canavalia-type","Canavalia-type",956,"N"
"NA","Cucurligo",957,"NA"
"NA","Asteraceae fenestree",958,"NA"
"NA","Dinoflagelles",959,"NA"
"NA","Rumex cf vesicarius",961,"NA"
"NA","Vitis",962,"Trees and Shrubs"
"NA","Chascanium",963,"NA"
"NA","Boerhavia",964,"Upland Herbs"
"NA","Cayluscia",965,"NA"
"Veronica","Veronica",966,"I"
"NA","Trichodesma",967,"N"
"NA","Jatropha",968,"Trees and Shrubs"
"NA","Chrysophyllum",969,"Trees and Shrubs"
"NA","Arecaceae",970,"Trees and Shrubs"
"NA","Symphonia glubulifera",971,"NA"
"NA","Centrosema",972,"NA"
"NA","Tamarindus",973,"NA"
"Anthonotha-type","Anthonotha-type",974,"A"
"NA","Mezoneuron",975,"NA"
"Afzelia","Afzelia",976,"A"
"Mansonia","Mansonia",977,"A"
"NA","Morelia",978,"NA"
"Spondias","Spondias",979,"A"
"NA","Flabellaria",980,"Upland Herbs"
"NA","Campanulaceae type",981,"NA"
"Stachytarpheta","Stachytarpheta",982,"N"
"NA","Cnestis",983,"NA"
"NA","Scoparia",984,"NA"
"Crinum","Crinum",985,"N"
"NA","Hippocratea",986,"Trees and Shrubs"
"NA","Sida-type",987,"NA"
"NA","Jussiae",988,"NA"
"NA","Cyclosorus",989,"NA"
"Ceratopteris","Ceratopteris",990,"F"
"NA","Pteris",991,"Terrestrial Vascular Cryptogams"
"NA","Echinules",992,"NA"
"NA","Acacia raddiata",993,"NA"
"NA","Borreria radiata",994,"NA"
"NA","Balanites aegyptiaca",995,"NA"
"NA","Cassia italica",996,"NA"
"NA","Mitragyna inermis",997,"NA"
"NA","Sopubia parvifolia",998,"NA"
"NA","Acacia albida",999,"NA"
"NA","Acacia ehrenbergiana",1000,"NA"
"NA","Acacia nilotica",1001,"NA"
"NA","Acacia polyacantha",1002,"NA"
"NA","Acacia seyal",1003,"NA"
"NA","Acacia vulgaris",1004,"NA"
"NA","Acalypha ciliata",1005,"NA"
"NA","Aerva persica",1006,"NA"
"NA","Alchornea cordifolia",1007,"NA"
"NA","Althernanthera",1008,"NA"
"NA","Anthocerothales",1009,"NA"
"NA","Azolla africana",1010,"F"
"NA","Basilicum polystachon",1011,"NA"
"NA","Borreria chaetocephala",1012,"NA"
"NA","Borreria scabra",1013,"NA"
"NA","Boscia angustifolia",1014,"NA"
"NA","Boscia senegalensis",1015,"NA"
"NA","Bridelia ferruginea",1016,"NA"
"NA","Bridelia scleroneura",1017,"NA"
"NA","Cadaba farinosa",1018,"NA"
"NA","Cadaba glandulosa",1019,"NA"
"NA","Capparis corymbosa",1020,"NA"
"NA","Capparis decidua",1021,"NA"
"NA","Cardiospermum halicacabum",1022,"NA"
"NA","Cassia occidentalis",1023,"NA"
"NA","Centrostachys aquatica",1024,"NA"
"NA","Chlorophytum",1025,"NA"
"NA","Cissus ibuensis",1026,"NA"
"NA","Clematis hirsuta",1027,"NA"
"NA","Cleome arabica",1028,"NA"
"NA","Cleome monophylla",1029,"NA"
"NA","Cleome scaposa",1030,"NA"
"NA","Combretum aculeatum",1031,"NA"
"NA","Combretum glutinosum",1032,"NA"
"NA","Combretum paniculatum",1033,"NA"
"NA","Commelina",1034,"Upland Herbs"
"NA","Corchorus fascicularis",1035,"NA"
"NA","Cornulaca monacantha",1036,"NA"
"NA","Cotula anthemoides",1037,"NA"
"Desmodium","Desmodium",1038,"I"
"NA","Dombeya quinqueseta",1039,"NA"
"NA","Fraxinus",1040,"A"
"NA","Galium",1041,"Upland Herbs"
"NA","Gisekia pharna",1042,"NA"
"NA","Gnidia",1043,"NA"
"NA","Grewia villosa",1044,"NA"
"Hibiscus","Hibiscus",1045,"I"
"NA","Hymenocardia acida",1046,"NA"
"NA","Hyphaene theba‹ca",1047,"NA"
"NA","Lannea acida",1048,"NA"
"NA","Launaea taraxa",1049,"NA"
"Lemna","Lemna",1050,"Q"
"NA","Lippia nodiflora",1051,"NA"
"Lygodium","Lygodium",1052,"F"
"NA","Maerua crassifolia",1053,"NA"
"NA","Marsilea",1054,"F"
"NA","Monechma ciliata",1055,"NA"
"NA","Neptunia",1056,"NA"
"NA","Nucularia",1057,"NA"
"NA","Olea lapperronica",1058,"NA"
"NA","Ophioglossum",1059,"F"
"NA","Pentodon pentandrus",1060,"NA"
"NA","Pentzia monodiana",1061,"NA"
"NA","Peristrophe bicalyculata",1062,"NA"
"NA","Phyllanthus maderapatensis",1063,"NA"
"Plantago","Plantago",1064,"N"
"NA","Polycapaea",1065,"NA"
"NA","Polygonum plebeium",1066,"NA"
"NA","Polygonum senegalensis",1067,"NA"
"NA","Prosopis africana",1068,"NA"
"NA","Pseudocedrela kotschyi",1069,"A"
"NA","Pteris marginata",1070,"NA"
"NA","Riccia",1071,"Y"
"NA","Sclerocephalus",1072,"NA"
"NA","Sesbania pachycarpa",1073,"NA"
"NA","Silene kilianii",1074,"NA"
"NA","Sterculia setigera",1075,"NA"
"NA","Syzygium guineensis",1076,"NA"
"Tilia","Tilia",1077,"A"
"NA","Trianthema pentandra",1078,"NA"
"NA","Trichodesma africana",1079,"NA"
"NA","Ulmus",1080,"A"
"NA","Vernonia pauciflora",1081,"NA"
"NA","Xeromphis nilotica",1082,"NA"
"NA","Abim‚s",1083,"NA"
"NA","Justicia betonica-type",1084,"NA"
"Phaulopsis-type","Phaulopsis-type",1085,"N"
"Pancratium-type","Pancratium-type",1086,"N"
"Caesalpinia-type","Caesalpinia-type",1087,"C"
"NA","Wahlenbergia",1088,"Upland Herbs"
"Lepistemon owariense-type","Lepistemon owariense-type",1089,"H"
"NA","Antiaris africana",1090,"NA"
"NA","Schrebera arborea",1091,"NA"
"NA","Tacca",1092,"NA"
"NA","Zygophyllaceae",1093,"Trees and Shrubs"
"NA","Acrostychum aureum",1094,"NA"
"Aerva-type javanica","Aerva-type javanica",1095,"N"
"Aerva-type lanata","Aerva-type lanata",1096,"N"
"NA","Allophylus abyssinicus-type",1097,"A"
"Aphania-type senegalensis","Aphania-type senegalensis",1098,"A"
"NA","Asparagus buchananii-type",1099,"L"
"NA","Buxus hildebrandtii-type",1100,"A"
"NA","Cassia-type mimosoides",1101,"N"
"NA","Caucanthus-type",1102,"C"
"Celosia-type trigyna","Celosia-type trigyna",1103,"N"
"NA","Cerastium-type octandrum",1104,"N"
"NA","Chenopodiaceae",1105,"NA"
"Cissampelos-type mucronata","Cissampelos-type mucronata",1106,"L"
"NA","Cocculus-type",1107,"NA"
"Commiphora africana-type","Commiphora africana-type",1108,"A"
"NA","Crateva-type adansonii",1109,"NA"
"Cyathula-type orthacantha","Cyathula-type orthacantha",1110,"N"
"NA","Cyphostemma-type",1111,"I"
"Dichrostachys cinerea-type","Dichrostachys cinerea-type",1112,"A"
"NA","Digera-type muricata",1113,"N"
"NA","Ekebergia-type",1114,"A"
"NA","Elaeophorbia-type drupifera",1115,"A"
"NA","Erhetia",1116,"NA"
"Erythrococca-type","Erythrococca-type",1117,"A"
"NA","Eucalyptus",1118,"Trees and Shrubs"
"NA","Euclea",1119,"A"
"NA","Flueggea-type virosa",1120,"NA"
"NA","Indigofera-type schimperi",1121,"NA"
"NA","Jasminum floribundum-type",1122,"A"
"NA","Juniperus procera",1123,"NA"
"NA","Justicia-type anselliana",1124,"NA"
"Justicia-type odora","Justicia-type odora",1125,"A"
"NA","Kohautia-type caespitosa",1126,"NA"
"NA","Kotschya-type",1127,"Upland Herbs"
"NA","Lantana-type viburnoides",1128,"C"
"NA","Laportea-type aestuans",1129,"N"
"Maerua-type","Maerua-type",1130,"A"
"NA","Maesa lanceolata-type",1131,"A"
"NA","Maytenus-type senegalensis",1132,"NA"
"NA","Mimulopsis-type",1133,"I"
"NA","Myrsine africana",1134,"A"
"NA","Nuxia/Dobera",1135,"A"
"NA","Olea europaea ssp africana",1136,"NA"
"NA","Pappea-type capensis",1137,"NA"
"NA","Phyllanthus engleri-type",1138,"NA"
"Phyllanthus-type reticulatus","Phyllanthus-type reticulatus",1139,"A"
"NA","Pilea-type bambuseti",1140,"N"
"NA","Plantago africana-type",1141,"N"
"Polyscias fulva-type","Polyscias fulva-type",1142,"A"
"NA","Potamogeton pectinatus-type",1143,"Q"
"Protea-type","Protea-type",1144,"A"
"NA","Prunus africana",1145,"NA"
"NA","Psilotrichum elliottii-type",1146,"NA"
"Psydrax-type schimperiana","Psydrax-type schimperiana",1147,"C"
"NA","Pterolobium stellatum",1148,"C"
"Pupalia-type lappacea","Pupalia-type lappacea",1149,"N"
"NA","Rhynchosia-type malacophylla",1150,"H"
"NA","Rubia-type cordifolia",1151,"N"
"NA","Rubus pinnatus-type",1152,"C"
"NA","Salvadora-type persica",1153,"NA"
"NA","Schefflera abyssinica-type",1154,"A"
"NA","Schefflera myriantha-type",1155,"C"
"NA","Senecio-type mannii",1156,"NA"
"NA","Serichostachys-type scandens",1157,"NA"
"Shirakia-type elliptica","Shirakia-type elliptica",1158,"A"
"NA","Suaeda-type monoica",1159,"NA"
"NA","Tephrosia-type uniflora",1160,"NA"
"NA","Trifolium-type acaule",1161,"N"
"NA","Vepris-type dainellii",1162,"A"
"NA","Vepris-type nobilis",1163,"A"
"NA","Xanthium-type",1164,"N"
"NA","Zea mais",1165,"NA"
"NA","Dyschoriste-type",1166,"I"
"Aizoaceae undiff.","Aizoaceae undiff.",1167,"I"
"Anthocerotaceae undiff.","Anthocerotaceae undiff.",1168,"Y"
"NA","Adenium-type obesum",1169,"NA"
"NA","Steganotaenia-type",1170,"I"
"Apiaceae undiff.","Apiaceae undiff.",1171,"I"
"NA","Carissa-type edulis",1172,"NA"
"Araliaceae undiff.","Araliaceae undiff.",1173,"C"
"Asteraceae undiff.","Asteraceae undiff.",1174,"I"
"NA","Carduus-type",1175,"N"
"Centaurea-type","Centaurea-type",1176,"N"
"NA","Crassocephalum-type montuosum",1177,"N"
"Lactuceae undiff.","Lactuceae undiff.",1178,"N"
"NA","Stoebe kilimandscharica-type",1179,"A"
"Cichorieae undiff.","Cichorieae undiff.",1180,"I"
"Balanites rotundifolia-type","Balanites rotundifolia-type",1181,"A"
"Brassicaceae undiff.","Brassicaceae undiff.",1182,"I"
"Capparidaceae undiff.","Capparidaceae undiff.",1183,"I"
"Celastraceae/Hippocrateaceae undiff.","Celastraceae/Hippocrateaceae undiff.",1184,"C"
"Chenopodiaceae undiff.","Chenopodiaceae undiff.",1185,"I"
"Combretum-type molle","Combretum-type molle",1186,"A"
"Combretaceae undiff.","Combretaceae undiff.",1187,"C"
"NA","Juniperus procera-type",1188,"NA"
"NA","Cyathea-type manniana",1189,"NA"
"Cyperaceae undiff.","Cyperaceae undiff.",1190,"H"
"NA","Dipsacus-type pinnatifidus",1191,"NA"
"NA","Ebenaceae undiff.",1192,"A"
"Ericaceae undiff.","Ericaceae undiff.",1193,"A"
"Phyllanthus-type amarus","Phyllanthus-type amarus",1194,"N"
"NA","Swertia-type kilimandscharica",1195,"N"
"NA","Gunnera perpensa",1196,"N"
"NA","Trichocladus ellipticus-type",1197,"A"
"Indeterminable","Indeterminable",1198,"X"
"Lamiaceae undiff.","Lamiaceae undiff.",1199,"I"
"NA","Nuxia/dobera",1200,"NA"
"Menispermaceae undiff.","Menispermaceae undiff.",1201,"C"
"Monocotyledoneae undiff.","Monocotyledoneae undiff.",1202,"I"
"Monoletes undiff.","Monoletes undiff.",1203,"F"
"NA","Dorstenia foetida-type",1204,"N"
"Olea capensis-type","Olea capensis-type",1205,"A"
"NA","Phytolacca",1206,"I"
"Poaceae undiff.","Poaceae undiff.",1207,"N"
"Portulacaceae undiff.","Portulacaceae undiff.",1208,"I"
"Pteridophyta undiff.","Pteridophyta undiff.",1209,"F"
"Clematis-type","Clematis-type",1210,"C"
"NA","Ranunculus stagnalis-type",1211,"Q"
"Ranunculaceae undiff.","Ranunculaceae undiff.",1212,"I"
"Resedaceae undiff.","Resedaceae undiff.",1213,"I"
"Rhamnaceae undiff.","Rhamnaceae undiff.",1214,"C"
"NA","Prunus africana-type",1215,"A"
"NA","Rosa abyssinica-type",1216,"C"
"NA","Galiniera-type saxifraga",1217,"NA"
"NA","Tarenna-type graveolens",1218,"A"
"Rubiaceae undiff.","Rubiaceae undiff.",1219,"I"
"NA","Vepris-type daniellii",1220,"A"
"NA","Salix subserrata-type",1221,"A"
"Dodonaea viscosa-type","Dodonaea viscosa-type",1222,"A"
"Sapindaceae undiff.","Sapindaceae undiff.",1223,"C"
"Sapotaceae undiff.","Sapotaceae undiff.",1224,"C"
"Scrophulariaceae undiff.","Scrophulariaceae undiff.",1225,"I"
"NA","Brucea antidysenterica-type",1226,"A"
"Dombeya-type","Dombeya-type",1227,"A"
"Thymelaeaceae undiff.","Thymelaeaceae undiff.",1228,"I"
"NA","Corchorus-type fascicularis",1229,"N"
"Triletes undiff.","Triletes undiff.",1230,"F"
"Undetermined","Undetermined",1231,"I"
"Urticaceae undiff.","Urticaceae undiff.",1232,"I"
"NA","Vahlia somalensis-type",1233,"N"
"Vernonieae undiff.","Vernonieae undiff.",1234,"I"
"NA","Silene",1235,"Upland Herbs"
"NA","Stoebe",1236,"NA"
"NA","Aloe",1237,"NA"
"NA","Cliffortia",1238,"A"
"NA","Olea africana",1239,"NA"
"NA","Entandrophragma",1240,"NA"
"NA","Neoboutonia",1241,"NA"
"NA","Pilea",1242,"Upland Herbs"
"NA","Callitriche",1243,"Q"
"NA","Gunnera",1244,"Upland Herbs"
"NA","Hydrocotyle ranunculoides",1245,"NA"
"NA","Securinega-type virosa",1246,"NA"
"NA","Uapaca nitida-type",1247,"A"
"NA","Loganiaceae/Salvadoraceae",1248,"NA"
"NA","Rapanea melanophloeos",1249,"NA"
"NA","Borassus-type",1250,"NA"
"NA","Teclea-type nobilis",1251,"NA"
"NA","Toddalia-type asiatica",1252,"NA"
"NA","Carapa-type grandiflora",1253,"NA"
"NA","Vangueria-type acutiloba",1254,"NA"
"NA","Dipsacaceae",1255,"Upland Herbs"
"NA","Aningeria spp.",1256,"NA"
"NA","Chaetacme",1257,"NA"
"NA","Dobera",1258,"NA"
"NA","Eriosema-type",1259,"N"
"NA","Excoecari-type",1260,"NA"
"NA","Fagara spp.",1261,"NA"
"NA","Faurea spp.",1262,"NA"
"NA","Hagenia",1263,"Trees and Shrubs"
"NA","Inapeturate",1264,"NA"
"Juniperus-type","Juniperus-type",1265,"A"
"NA","Lannea spp.",1266,"NA"
"NA","Maesopsis-type",1267,"NA"
"NA","Moraceae-type",1268,"NA"
"NA","Myrica spp.",1269,"NA"
"NA","Myriophyllum",1270,"Q"
"NA","Olea welwitschii",1271,"NA"
"NA","Phyllanthus spp.",1272,"NA"
"NA","Piperaceae",1273,"Trees and Shrubs"
"NA","Polygonum spp.",1274,"NA"
"NA","Protea spp.",1275,"NA"
"NA","Pseudospondias",1276,"NA"
"NA","Randia spp.",1277,"NA"
"NA","Trema spp.",1278,"NA"
"NA","Ranunculus",1279,"Upland Herbs"
"NA","Rubia",1280,"NA"
"NA","Illecebraceae",1281,"NA"
"NA","Afrocrania volkensii",1282,"A"
"NA","Cliffortia nitidula",1283,"NA"
"NA","Balanites orbicularis-type",1284,"NA"
"NA","Hirpicium-type diffusum",1285,"N"
"NA","Commiphora boiviniana-type",1286,"NA"
"Vernonia perrottetii-type","Vernonia perrottetii-type",1287,"N"
"NA","Celastraceae/Hippocrateaceae",1288,"Trees and Shrubs"
"NA","Volkensinia prostrata",1289,"N"
"NA","Cucumis-type dipsaceus",1290,"NA"
"NA","Ebenaceae",1291,"Trees and Shrubs"
"Commelina-type forskalaei","Commelina-type forskalaei",1292,"N"
"NA","Tarchonanthus camphoratus",1293,"NA"
"NA","Disperma-type",1294,"NA"
"NA","Delonix elata",1295,"NA"
"NA","Ocimum-type basilicum",1296,"N"
"NA","Bersama abyssinica",1297,"NA"
"NA","Linociera-type latipetala",1298,"NA"
"NA","Celosia-type argentea",1299,"NA"
"NA","Brucea antidysenterica",1300,"NA"
"NA","Pistacia",1301,"A"
"NA","Trianthema-type",1302,"N"
"NA","Coccinia-type grandis",1303,"NA"
"NA","Gynandropsis-type gynandra",1304,"NA"
"NA","Crassula-type alba",1305,"NA"
"NA","Pygeum",1306,"NA"
"NA","Trichilia",1307,"Trees and Shrubs"
"Dalbergia","Dalbergia",1308,"C"
"NA","Helichrysum/Bidens",1309,"N"
"NA","Pterolobium",1310,"NA"
"NA","Nuxia",1311,"NA"
"NA","Cerastium afromontanum-type",1312,"N"
"NA","Silene-type burchellii",1313,"N"
"NA","Lythrum",1314,"Q"
"NA","Myrica salicifolia",1315,"NA"
"NA","Schefflera volkensii",1316,"NA"
"NA","Barbeyaceae",1317,"NA"
"NA","Cerastium octandrum",1318,"NA"
"NA","Uebelinia-type",1319,"N"
"NA","Crepis-type",1320,"N"
"NA","Helichrysum-type",1321,"N"
"NA","Euphorbia hypericifolia",1322,"NA"
"NA","Macaranga kilimandscharica",1323,"NA"
"NA","Swertia lastii-type",1324,"NA"
"Basilicum-type polystachyon","Basilicum-type polystachyon",1325,"N"
"NA","Olea hochstetteri-type",1326,"NA"
"NA","Plantago coronopus-type",1327,"N"
"NA","Rananculus oreophytus-type",1328,"NA"
"NA","Pentanisia-type ouranogyne",1329,"NA"
"NA","Pappea capensis",1330,"A"
"NA","Hebenstreitia dentata",1331,"NA"
"NA","Celtis africana-type",1332,"A"
"NA","Poaceae <40",1333,"NA"
"NA","Poaceae >40",1334,"NA"
"NA","Podocarpus falcatus",1335,"NA"
"NA","Olea europaea ssp. africana",1336,"NA"
"NA","Hildebrantia",1337,"NA"
"NA","Dodonaea angustifolia",1338,"NA"
"NA","Acacia group I",1339,"NA"
"NA","Acacia group III",1340,"NA"
"NA","Combretum",1341,"NA"
"NA","Terminalia",1342,"NA"
"NA","Asteraceae: Asteroideae",1343,"NA"
"NA","Asteraceae: Lactucoideae",1344,"NA"
"NA","Fabaceae: Papilionoideae undiff.",1345,"NA"
"NA","Senna",1346,"NA"
"NA","Lamiaceae tricolpate",1347,"NA"
"NA","Lamiaceae hexacolpate",1348,"NA"
"NA","Leucas",1349,"NA"
"NA","Typha type-angustifolia",1350,"NA"
"NA","Indeterminate",1351,"NA"
"NA","Unknown tetracolpate",1352,"NA"
"NA","Trilepsium",1353,"NA"
"NA","Typha latifolia",1354,"Aquatic Vascular Plants"
"NA","Spores: monolete",1355,"NA"
"NA","Spores: trilete",1356,"NA"
"NA","Lemnaceae",1357,"Aquatic Vascular Plants"
"NA","Ranunculaceae/Papaveraceae undiff.",1358,"I"
"NA","Unknowns: various",1359,"NA"
"Casuarina","Casuarina",1360,"A"
"NA","Carissa",1361,"C"
"NA","Menispermaceae cf. Cissampelos",1362,"NA"
"NA","Rosaceae cf. Rosa",1363,"Upland Herbs"
"NA","Passifloraceae cf. Adenia",1364,"NA"
"NA","Apodytes",1365,"Trees and Shrubs"
"Schefflera","Schefflera",1366,"C"
"NA","Olaceae cf. Ximenia",1367,"NA"
"NA","Cordia abyssinica",1368,"NA"
"Anacardiaceae undiff.","Anacardiaceae undiff.",1369,"A"
"NA","Pediastrum boryanum",1370,"NA"
"NA","Pediastrum duplex",1371,"NA"
"NA","Botryococcus braunii",1372,"NA"
"NA","Coelastrum",1373,"NA"
"NA","Stoebe kilimandi scharica",1374,"NA"
"NA","Combretaceae-Melastomataceae",1375,"NA"
"NA","Acacia-Albizzia",1376,"NA"
"Mimosa","Mimosa",1377,"I"
"NA","Mimosoideae (except Acacia-Albizzia, Mimosa",1378,"NA"
"NA","Allophylus-Protea",1379,"NA"
"NA","Celtis-Holoptelea",1380,"NA"
"NA","Chenopodiaceae-Amaranthaceae",1381,"NA"
"NA","Compositae (except Artemesia, Stoebe)",1382,"NA"
"NA","Basella",1383,"H"
"NA","Labiateae",1384,"NA"
"NA","Monolete spores",1385,"NA"
"NA","Trilete spores",1386,"NA"
"NA","Phyllanthus comp.",1387,"NA"
"NA","Potamogetonaceae",1388,"Aquatic Vascular Plants"
"NA","Undetermined pollen",1389,"NA"
"NA","Unrecognized pollen",1390,"NA"
"NA","Mimosoideae exc. Acacia-Albizzia-Mimosa",1391,"NA"
"NA","Geranium",1392,"N"
"NA","Zanthoxylum usambarense-type",1393,"Trees and Shrubs"
"NA","Myrsinaceae",1394,"Trees and Shrubs"
"NA","Burnatia",1395,"NA"
"NA","Afrocrania",1396,"NA"
"NA","Diospyros-type",1397,"Trees and Shrubs"
"NA","Nuxia-type congesta",1398,"A"
"NA","Polyscias-type",1399,"NA"
"NA","Droseraceae",1400,"Upland Herbs"
"NA","Restionaceae",1401,"Aquatic Vascular Plants"
"NA","Subularia-type monticola",1402,"NA"
"NA","Swertia",1403,"Upland Herbs"
"NA","Artemesia",1404,"NA"
"NA","Brucea",1405,"A"
"NA","Subularia",1406,"NA"
"NA","Anagallis",1407,"N"
"NA","Valeriana",1408,"N"
"NA","Bersama",1409,"A"
"NA","Galiniera",1410,"Trees and Shrubs"
"Pavetta","Pavetta",1411,"C"
"NA","Rhamnus",1412,"Trees and Shrubs"
"NA","Cichorieae",1413,"NA"
"NA","Cystopteris",1414,"F"
"NA","Frilly Fern",1415,"NA"
"NA","Umbilicus",1416,"N"
"NA","Cf Cyathea",1417,"NA"
"NA","Cf Polypodiaceae",1418,"NA"
"NA","Davaliaceae",1419,"NA"
"NA","Other trilete ferns",1420,"NA"
"NA","Psilate reniform ferns",1421,"NA"
"NA","Aningeria",1422,"NA"
"NA","Cf Myrianthus",1423,"NA"
"NA","Cf Stoebe",1424,"NA"
"NA","Crassula/Ficalhoa",1425,"I"
"NA","Hebenstreitia",1426,"NA"
"NA","Randia/Anthocleista",1427,"NA"
"NA","Smithia",1428,"N"
"NA","Crumpled",1429,"NA"
"NA","Clausena/Bersama",1430,"NA"
"NA","Gymnogramma",1431,"NA"
"NA","Macaranga monandra",1432,"NA"
"NA","Lepisanthes-type senegalensis",1433,"NA"
"NA","Aningeria-type",1434,"NA"
"NA","Lantana-type virbunoides",1435,"NA"
"NA","Spiniluma-type oxyacantha",1436,"NA"
"NA","Trichodesma zeylanicum-type",1437,"N"
"NA","Corbichonia-type decumbens",1438,"N"
"NA","Psilotrichum-type elliottii",1439,"N"
"NA","Ambrosieae",1440,"NA"
"NA","Sericostachys",1441,"NA"
"NA","Ricinus",1442,"Upland Herbs"
"NA","Osmundaceae",1443,"Terrestrial Vascular Cryptogams"
"NA","Buxus",1444,"A"
"NA","Julbernardia-type2",1445,"NA"
"NA","Julbernardia-type1",1446,"NA"
"NA","Synadenium grantii",1447,"NA"
"NA","Uapaca kirkiana-type",1448,"A"
"NA","Garcinia volkensii-type",1449,"A"
"NA","Flabellariopsis-type",1450,"NA"
"NA","Dipterocarpaceae",1451,"NA"
"Isoberlinia-type","Isoberlinia-type",1452,"A"
"NA","Dichrostachys-type cinerea",1453,"NA"
"NA","Podostemonaceae",1454,"NA"
"NA","Campanula-type",1455,"N"
"NA","Sapium-type ellipticum",1456,"NA"
"NA","Pterocarpus-type abyssinicus",1457,"NA"
"NA","Centemopsis-type gracilenta",1458,"N"
"NA","Gardenieae",1459,"NA"
"NA","Asclepiadaceae",1460,"Upland Herbs"
"NA","Osmunda",1461,"F"
"NA","Vigna",1462,"Upland Herbs"
"NA","Virectaria",1463,"N"
"NA","Zanha-type golungensis",1464,"NA"
"NA","Kotschya",1465,"I"
"NA","Galiniera coffeoides",1466,"NA"
"NA","Theaceae",1467,"Trees and Shrubs"
"NA","Barbeya oleoides",1468,"A"
"NA","Primulaceae",1469,"Upland Herbs"
"NA","Ranunculus oreophytus-type",1470,"Q"
"NA","Stellaria mannii-type",1471,"N"
"NA","Adenia type",1472,"NA"
"NA","Agavaceae",1473,"Trees and Shrubs"
"NA","Allophylus abyssinicus (Sapindaceae)",1474,"NA"
"NA","Chenopodiaceae / Amaranthaceae",1475,"NA"
"NA","Canthium schimperanium",1476,"NA"
"NA","Celosia (Amaranthaceae)",1477,"NA"
"NA","cf Vernonia (Lactucoides)",1478,"NA"
"NA","Cissus / Vitaceae-type",1479,"NA"
"NA","Croton macrostachys",1480,"NA"
"NA","Dobera/Nuxia (Salvadoraceae)",1481,"NA"
"NA","Euphorbia acalyphoides",1482,"NA"
"NA","Euphorbiaceae cf Phyllantus",1483,"NA"
"NA","Euphorbiaceae cf Tyragia",1484,"NA"
"NA","Euphorbiaceae Jatropha villosa",1485,"NA"
"NA","Galinaria cofeoides",1486,"NA"
"NA","Grewia type",1487,"NA"
"NA","Hildebrandia obcordata",1488,"NA"
"NA","Indeterminates",1489,"NA"
"NA","Indigofera (Legum:Cesalpinoideae)",1490,"NA"
"NA","Jasmium",1491,"NA"
"NA","Justicia odora",1492,"NA"
"NA","Labiatae cf Hyptis pectinata",1493,"NA"
"NA","Laurambergia",1494,"NA"
"NA","Leguminosae: Cesalpinoideae",1495,"NA"
"NA","Loranthaceae cf Tapinantus",1496,"NA"
"NA","Maesa lanceolata (Myrsinaceae)",1497,"NA"
"NA","Maerua type",1498,"NA"
"NA","Nymphaceae",1499,"NA"
"NA","Rubiaceae: Mytracarpus",1500,"NA"
"NA","Rubiaceae: Tarena type",1501,"NA"
"NA","Xanthoxylum (formerly Fagara) Rutaceae",1502,"NA"
"NA","Rutaceae: Teclea",1503,"NA"
"NA","Salvadoraceae undiff",1504,"NA"
"NA","Sapium ellipticum",1505,"NA"
"NA","Simarubaceae",1506,"NA"
"NA","Solanum / Ricinus",1507,"NA"
"NA","Terminalia (Combretaceae)",1508,"NA"
"NA","Tiliacea cf Corcorus",1509,"NA"
"NA","Pterilobium stellatum",1510,"NA"
"NA","Zizyphus",1511,"NA"
"NA","Unknown 1",1512,"NA"
"NA","Unknown 2",1513,"NA"
"NA","Unknown 3",1514,"NA"
"NA","Unknown 4",1515,"NA"
"NA","Unknown 5",1516,"NA"
"NA","Unknown var",1517,"NA"
"NA","Chaetachme aristata",1518,"NA"
"NA","Culcasia scandens",1519,"NA"
"NA","Ormocarpum",1520,"NA"
"NA","Trema orientalis",1521,"NA"
"NA","Acacia-type",1522,"NA"
"NA","Acanthus pubescens",1523,"NA"
"NA","Allophylus/protea/faurea",1524,"C"
"NA","Ardisia",1525,"I"
"NA","Begonia meyeri-johansis",1526,"NA"
"NA","Capparis erythrocarpos",1527,"NA"
"NA","Celtis/Hymenocardia",1528,"A"
"NA","Cuscuta sp.",1529,"NA"
"NA","Dorstenia kameruniana",1530,"NA"
